TCM_name;TCM_name_en;Herb_pinyin_name;Herb_latin_name;Properties;Meridian_1;Meridian_2;Meridian_3;Meridian_4;Meridian_5;Meridian_6;UsePart;Function;Indication;Toxicity;Clinical_manifestations;Therapeutic_en_class;Therapeutic_cn_class
尖叶梣;Acuteleaf Ash Bark;JIAN YE CEN;Fraxinus szaboana [Syn. Fraxinus chinensis var. acuminata];;;;;;;;bark;See Fraxinus rhynchophylla .;See Fraxinus rhynchophylla .;;;;
大草寇;Beautiful Galangal;DA CAO KOU;Alpinia speciosa;;;;;;;;seed;To dissipate cold and dry damp, dispel phlegm and interrupt malaria, fortify spleen and warm stomach.;Cold pain in heart and abdomen, distention fullness in chest and abdomen, cold-damp accumulation and obstruction, indigestion, vomiting and diarrhea.;;;;
蒲公英;Dandelion,Mongolian Dandelion;PU GONG YING;Taraxacum mongolicum;"Cold; Sweet; Bitter";Stomach; Liver;;;;;aerial parts;To clear heat and resolve toxin, dissipate binds and disperse swelling, disinhibit urine and free strangury.;Epidemic parotitis, infection of upper respiratory tract, tonsillitis, laryngitis, sore pharynx, mastitis, hepatitis, swelling toxin of clove sore, mammary welling abscess, scrofula, red eyes, pulmonary welling abscess, damp-heat jaundice, heat strangury with inhibited pain.;;1. Bacteriostatic. 2. Its alcoholic extract exerts a cholagogic action in rat, which is stronger than decoction of Herba Artemisiae Scopariae. 3. Relieve the damage of liver in rat elicited by CCl4;Heat clearence;清热
中国粗榧枝叶;Chinese Plumyew Branch-leaf;ZHONG GUO CU FEI ZHI YE;Cephalotaxus sinensis [Syn. Cephalotaxus harringtonia var. sinensis ];;;;;;;;branchlet-leaf;Anticancer.;Carcinoma.;;;;
麻叶;Hemp Fimble Leaf;MA YE;Cannabis sativa;;;;;;;;leaf;To interrupt malaria, expel roundworm, settle asthma.;Malaria, asthma, ascariasis.;;;;
珍珠母;Nacre;ZHEN ZHU MU;"Concha Margaritifera Usta;Margarita";"Cold; Salty";Liver; Heart;;;;;;Treatment of headache, dizziness, fidgetness and insomnia, inflammation of the eye due to heat in the liver, blurred vision in deficiency conditions of the liver.;1. Its hydrolysate decreases the intestinal tone in vitro and also exerts a transient diuretic effect in rabbits.2. Promote the healing of wound in experimental animals.;;1. Its hydrolysate decreases the intestinal tone in vitro and also exerts a transient diuretic effect in rabbits.2. Promote the healing of wound in experimental animals.;For calming liver and containing wind;平肝息风
珍珠母;Mother-of-pearl;HYRIOPSIS CUMINGII ZHEN ZHU MU;Cristaria plicata;;;;;;;;shell;To calm liver and subdue yang , quiet spirit and settle fright, clear liver and brighten eyes.;Headache and dizziness, palpitation and insomnia, mania and withdrawal, fright epilepsy, liver heat and red eyes, eye screen.;;;;
橙子核;Fragrant Citrus Seed;CHENG ZI HE;Citrus junos;;;;;;;;seed;To rectify qi and relieve pain.;Mounting qi, strangury, lumbago.;;;;
好望角芦荟;Cape of Good Hope Aloe Dried Juice;HAO WANG JIAO LU HUI;Aloe ferox;;;;;;;;solid residue obtained by evaporating liquid which drains from leaves;See Aloe vera .;See Aloe vera .;;;;
土牛膝;Common Achyranthes Equivalent plant: Achyranthes aspera var indica;TU NIU XI;Achyranthes aspera;;;;;;;;root and rhizome;To quicken blood and dissipate stasis, dispel damp and disinhibit urine, clear heat and resolve toxin.;Amenorrhea, dysmenorrhea, menstrual disorder, knocks and falls, pain in joints due to rheumatalgia, strangury, edema, fever due to external contraction, malaria, dysentery, sore pharynx, swollen welling abscess and clove sores.;;;;
细叶桉叶;Forest Gray Gum Leaf;XI YE AN YE;Eucalyptus tereticornis;;;;;;;;leaf;To diffuse lung and effuse exterior, rectify qi and quicken blood, resolve toxin and kill worms.;Common cold, cough, qi distention abdominal pain, diarrhea and dysentery, leptospirosis, knocks and falls, sores, erysipelas, mammary welling abscess, scab sore, lichen.;;;;
枇杷叶;"Loquat Leaf;PI PA YE";PI PA YE;Folium Eriobotryae;"Minor cold; Bitter";Lung; Stomach;;;;;leaf;To remove heat from the lung and the stomach, and to relieve cough and vomiting.;Lung heat cough, qi counterflow with rapid asthma , stomach heat vomiting, heat vexation and thirst.;;1. Its decoction inhibits the growth of Staphylococcus aureus in vitro.2. Its saponins exert an expectorant effect.3. Inhibiting the influenza virus.;Antitussive Antiasthmetics;止咳平喘药
水接骨丹;Hairy Willowweed;SHUI JIE GU DAN;Epilobium hirsutum;;;;;;;;whole herb;To clear heat and resolve toxin, disinhibit damp and check diarrhea, disperse food and rectify qi , quicken blood and joint bones.;Damp-heat dysentery, food accumulati on, distending pain in stomach duct, toothache, menstrual disorder, amenorrhea, vaginal discharge, fracture due to knocks and falls, swelling of sores, scalds, scab sore.;;;;
窝儿七;Chinese Umbrellaleaf Equivalent plant: Diphylleia grayi;WO ER QI;Diphylleia sinensis;;;;;;;;rhizome;To dispel wind-damp, clear heat and cool blood, quicken blood and relieve pain, drain precipitation.;Rheumatic arthritis, pain in lumbus and legs, steaming bone taxation fever, knocks and falls, menstrual disorder, painful bind in lesser-abdomen, swollen welling abscess.;;;;
流苏石斛;Eyeshaped Dendrobium;LIU SU SHI HU;Dendrobium fimbriatum var. oculatum;;;;;;;;stem;See Dendrobium nobile.;See Dendrobium nobile.;;;;
西藏鹿蹄草;Tibet Pyrola*;XI ZANG LU TI CAO;Pyrola calliantha var. tibetana;;;;;;;;whole herb;See Pyrola calliantha.;See Pyrola calliantha.;;;;
天山花楸;Tianshan Mountain Mountainash;TIAN SHAN HUA QIU;Sorbus tianschanica;;;;;;;;branchlet and fruit;To clear lung and suppress cough, supplement spleen and engender liquid.;Tuberculosis, cough and asthma, stomachache, hypovitaminosis.;;;;
南非钩麻;Devil’s Clow;NAN FEI GOU MA;Harpagophytum procumbens;;;;;;;;whole herb;To relieve pain, eliminate inflammation, resolve heat.;Bronchial asthma, ileitis, ulcerative colitis, rheumatis, abnormal increase of lipoxygenase.;;;;
粤丝瓜;Singkwa Towelgourd;YUE SI GUA;Luffa acutangula;;;;;;;;dried vascular bundles of ripe fruit;See Luffa cylindrica.;See Luffa cylindrica.;;;;
黎檬根;Lemonlike Citrus Root;LI MENG GEN;Citrus limonia;;;;;;;;root;See Citrus limon.;See Citrus limon.;;;;
毛山楂;Maximowicz Hawthorn;MAO SHAN ZHA;Crataegus maximowiczii;;;;;;;;fruit;See Crataegus cuneata.;See Crataegus cuneata.;;;;
吕宋果;Ignat Poisonnut Seed;LV SONG GUO;Strychnos ignatii;;;;;;;;ripe seed;To resolve toxin, disperse swelling, kill worms, relieve pain.;Stomachache, diarrhea, dysentery, malaria, worm accumulation, bleeding due to external injury, centipede bite.;;;;
紫丁香;Early Lilac;ZI DING XIANG;Syringa oblata;;;;;;;;leaf and bark;To clear heat and resolve toxin, disinhibit damp and abate jaundice.;Acute diarrhea, icterohepatitis, acute conjunctivitis, sores.;;;;
鸡蛋果;Passionfruit;JI DAN GUO;Passiflora edulis;;;;;;;;fruit;To clear lung and moisten dryness, quiet spirit and relieve pain, harmonize blood and check dysentery.;Cough, dry throat, hoarseness, constipation, insomnia, dysmenorrhea, pain in joints, dysentery.;;;;
欧锦葵;High Mallow;OU JIN KUI;Malva sylvestris;;;;;;;;flower, leaf and stem;To disinhibit urine and free stool, clear heat and resolve toxin.;Urinary and fecal stoppage, vaginal discharge, scrofula, swelling pain in throat.;;;;
展枝唐松草;"Spreading Meadowrue;Spreading Meadowrue*";ZHAN ZHI TANG SONG CAO;Thalictrum squarrosum;;;;;;;;root and rhizome (or whole herb);To clear heat and resolve toxin, inhibit acid.;Acute conjunctivitis, infective hepatitis, dysentery, stomach disease and acid vomiting.;;;;
婆罗门皂荚;Goldenshower Senna Fruit;PO LUO MEN ZAO JIA;Cassia fistula;;;;;;;;fruit;To clear heat and free stool, transform stagnation and relieve pain.;Heat wind in heart and diaphragm, steaming bone fever and chills, three worms.;;;;
石花;Parmelia Lichen;SHI HUA;Parmelia saxatilis;;;;;;;;lichen;To supplement liver and boost kidney, brighten eyes, stanch bleeding, resolve toxin and disinhibit damp.;Blurred vision, pain in lumbus and knees, blood ejection, flooding and spotting, jaundice, scab and lichen.;;;;
羊蹄;Japanese Dock Equivalent plant: Rumex nepalensis;YANG TI;Rumex japonicus;;;;;;;;root;To clear heat and free stool, cool blood and stanch bleeding, kill worms and relieve itch.;Constipation, blood ejection, spontaneous external bleeding, intestinal wind bleeding, bleeding from hemorrhoids, flooding and spotting, scab and lichen, bald white scalp sore, swelling toxin of welling abscess and sore, knocks and falls.;;;;
肉豆蔻;"Nutmeg;Common Nutmeg;Myristica fragrans";ROU DOU KOU;Semen Myristicae;"Warm; Pungent";Spleen; Large Intestine; Stomach;;;;kernel;To warm the spleen and stomach and promote the flow of qi , to arrest diarrhea as an astringent.;Spleen-stomach vacuity cold, incessant chronic diarrhea, distending pain in stomach duct, reduced food intake with vomiting.;;1. Its volatile oil stimulates gastrointestinal trac and expels wind2. Oral administration of its powder (1.9g/kg) or hypodermic injection of its volatile oil (0.12ml/kg) may cause serious damage of cat's liver leading to coma and death within 24hours.;Astringent Medicinal;收涩药
棕榈皮;Fortune Windmillpalm;ZONG LV PI;Trachycarpus fortunei;"Mild; Bitter; Punkery";Lung; Large Intestine; Liver;;;;petiole and fibre of sheath;To promote contraction and stanch bleeding.;Blood ejection, spontaneous external bleeding, hematuria, hematochezia, flooding, bleeding due to external injury.;;;Bleeding control;止血
泡囊草;Common Physochlaina;PAO NANG CAO;Physochlaina physaloides;;;;;;;;root or whole herb;To clear heat and resolve toxin, dispel damp and kill worms (herb), warm center and supplement vacuity, quiet spirit and settle asthma (root).;Otitis media, nasosinusitis, swelling pain in throat, swelling toxin of sore and welling abscess, headache (herb), vacuity cold diarrhea, taxation damage, cough of phlegm asthma, disquieted heart spirit (root).;;;;
细叶藤;Asian Tetracera;XI YE TENG;Tetracera asiatica;;;;;;;;root or leaf;To promote contraction and stem desertion, disperse swelling and relieve pain.;Enteritis, dysentery, prolapse of rectum, emission, knocks and falls.;;;;
酸浆;Japanese-lantern;SUAN JIANG;Physalis alkekengi;;;;;;;;whole herb;To clear heat and resolve toxin, disinhibit pharynx and larynx, disinhibit urine and free stool.;Acute tonsillitis, swelling pain in throat, laryngeal infection in children, lung heat cough, jaundice, dysentery, edema, dribbling urination, fecal stoppage, yellow-water sore, eczema, erysipelas.;;;;
樱桃;Falsesour Cherry;YING TAO;Prunus pseudocerasus;;;;;;;;fruit;To supplement spleen and boost kidney.;Paralysis, spleen vacuity diarrhea, kidney vacuity and emission, pain in lumbus and legs, numbness in limbs.;;;;
芜青;Turnip;WU QING;Brassica rapa;;;;;;;;root or leaf;To disperse food and precipitate qi, resolve toxin and disperse swelling.;Indigestion of overnight food, cold pain in heart and abdomen, cough, swollen welling abscess and toxin of clove.;;;;
大菟丝子;Japanese Dodder Seed;DA TU SI ZI;Cuscuta japonica;;;;;;;;ripe seed;See Cuscuta chinensis.;See Cuscuta chinensis .;;;;
原蚕蛾;Silkworm King;YUAN CAN E;Bombyx mori;;;;;;;;silkworm king;To supplement kidney and invigorate yang , rough essence, stanch bleeding, resolve toxin and disperse swelling.;Impotence and emission, white turbidity, blood strangury, incised wound and bleeding, swelling pain in throat, mouth and tongue sores, swelling toxin of welling abscess and sore, frostbite, snake bite.;;;;
菽麻;Sunn Crotalaria;SHU MA;Crotalaria juncea;;;;;;;;root;To disinhibit urine and resolve toxin.;Opacity of urine, dribbling pain of urination, urethral stone, scab and lichen, knocks and falls.;;;;
夏枯草;"fruit -spike of Common Selfheal;Common Selfheal;Prunella vulgaris";XIA KU CAO;Spica Prunellae;"Cold; Pungent; Bitter";Liver; Gallbladder;;;;;spike;To quench fire of the liver and counteract inflammation of the eye, and to reduce modulation and induce subsidence of swelling.;Red eyes with gall, eyeball night pain, headache and dizziness, scrofula, goiter and tuberculosis, mammary welling abscess, thyroid enlargement, scrofula, hyperplasia of mammary glands, hypertension.;;1. Its decoction (100mg/kg) for intravenous injection is hypotensive ondogs.2. Its dilute decoction increases contractive power of toad and rabbits hearts in vitro, while concentrate decoction decreases.3. Anti-inflammatory and bacteriostatic.4. Adding th;Fire Purging Drugs;清热泻火药
辽宁山楂;Redhaw Hawthorn;LIAO NING SHAN ZHA;Crataegus sanguinea;;;;;;;;fruit;See Crataegus cuneata.;See Crataegus cuneata.;;;;
牡蒿;Japanese Wormwood;MU HAO;Artemisia japonica;;;;;;;;whole herb;To clear heat, cool blood, resolve toxin.;Summer common cold, tuberculosis tidal fever, hemoptysis, child gan fever, spontaneous external bleeding, hematochezia, flooding and spotting, vaginal discharge, icterohepatitis, erysipelas, poisonous snake bite.;;;;
云南芭蕉;Yunnan Anisetree;YUN NAN BA JIAO;Illicium simonsii;;;;;;;;ripe fruit or leaf;To engender flesh and kill worms.;Enduring sores, scab sore.;;;;
大麻叶泽兰;Hemp-agrimony;DA MA YE ZE LAN;Eupatorium cannabinum;;;;;;;;whole herb;To clear summerheat, repel foulness, transform damp.;Summerheat damage, fever and headache, damp evil brew, inappetence due to glomus in stomach duct, bitter taste and slimy tongue fur.;;;;
银不换;Barbate Cyclea;YIN BU HUAN;Cyclea barbata;;;;;;;;root and stem;To clear heat and resolve toxin, disperse stasis and relieve pain, disinhibit urine and free strangury.;Wind-heat common cold, throat pain, toothache, stomachache, abdominal pain, damp-heat dysentery, malaria, dribbling pain of urination, painful wound from knocks and falls, sprain and contusion.;;;;
千年不烂心;Bitter Nightshade Fruit;QIAN NIAN BU LAN XIN;Solanum dulcamara;;;;;;;;whole herb;To expel wind and eliminate damp, clear heat and resolve toxin.;Wind-damp pain, tetanus, swollen welling abscess, malign sore, scab sore, bleeding due to external injury.;;;;
狭叶当归;Narrowleaf Angelica;XIA YE DANG GUI;Angelica anomala;;;;;;;;root;To dispel wind and eliminate damp, disperse swelling and relieve pain.;Wind-cold common cold, headache and nasal congestion, deep-source nasal congestion, gum swelling and pain, swelling of sores, vaginal discharge.;;;;
九层风;;JIU CENG FENG;Cladostachys amaranthoides;;;;;;;;whole herb;To dispel wind and remove damp, clear heat and resolve toxin.;Wind-damp impediment pain, dysentery, diarrhea.;;;;
拿腾果;Japanese Stauntonvine Fruit;NA TENG GUO;Stauntonia hexaphylla;;;;;;;;fruit;To resolve toxin and disperse swelling, kill worms and relieve pain.;Sore and welling abscess, mounting qi , ascariasis, trichuriasis.;;;;
报春花;Fairy Primrose;BAO CHUN HUA;Primula malacoides;;;;;;;;whole herb;To clear heat and resolve toxin.;Lung heat cough, red swollen in throat, oral ulcer, gum swelling and pain, liver fire and red eyes, swollen welling abscess, sore and boil.;;;;
猕猴梨;Bower Actinidia;MI HOU LI;Actinidia arguta;;;;;;;;fruit;To enrich yin and clear heat, eliminate vexation and allay thirst, free strangury.;Febrile diseases fluid damage, sand strangury, stone strangury, hypovitaminosis C, gum hemorrhage, hepatitis.;;;;
黑曼;Regel Threewingnut;HEI MAN;Tripterygium regelii;;;;;;;;whole herb or root;To dispel wind and eliminate damp, disinhibit water and disperse edema, resolve toxin and kill worms.;Rheumatoid arthritis, jaundice, glomus accumulation, knocks and falls, scrofula, toxin swelling of sores, tinea capitis, itchy skin, poisonous snake bite.;;;;
菠萝蜜;Diversileaf Artocarpus;BO LUO MI;Artocarpus heterophyllus;;;;;;;;fruit;To engender liquid and eliminate vexation, resolve liquor and arouse spleen.;;;;;
千金藤;Japanese Staphania;QIAN JIN TENG;Stephania japonica;;;;;;;;root or stem-leaf;To clear heat and resolve toxin, dispel wind and relieve pain, disinhibit water and disperse edema.;Swelling pain in throat, swollen welling abscess, sore and boil, poisonous snake bite, wind-damp impediment pain, stomachache, beriberi with edema, nephritis with edema, urinary tract infection, rheumatic arthritis, sciatica.;;;;
香蕈;Champignon;XIANG XUN;Lentinus edodes;;;;;;;;sporocarp;To fortify spleen and promote digestion, dispel wind and outthrust papules, rectify qi and transform phlegm, resolve toxin, anticancer.;Weakness of rigth qi , fatigued spirit and hypodynamia, torpid intake, indigestion, blood vacuity, rickets, hypertension, hyperlipemia, chronic hepatitis, night sweating, urinary incontinence, edema, non-eruption of measles, urticaria, carcinoma.;;;;
鸡肉;Chicken;JI ROU;Gallus gallus domesticus;;;;;;;;meat;To warm center, boost qi, supplement essence and replenish marrow.;Vacuity taxation with marked emaciation, weakness during convalescence, reduced food intake, stomach reflux, diarrhea and dysentery, diabetes mellitus, edema, frequent urination, flooding and spotting, vaginal discharge, postpartum scant milk.;;;;
半边莲;"Chinese Lobelia Herb;Lobelia chinensis;Chinese Lobelia";BAN BIAN LIAN;Herba Lobeliae Chinensis;;;;;;;;whole herb;To cause diuresis, and to remove toxic heat.;Edema, edema and enlarged abdomen, edema in face and foot, swollen welling abscess and clove sores, snake or insect bites.;;1. Its decoction or its active component lobeline stimulates the chemical receptor in common carotid artery and exaggerates respiration. 2. Gastric infusion of its infusion (1g/kg) exerts a strong and prolong diuretic effect in rats and LD50 is 75g/kg .3.;Antipyretic Detoxicate Drugs;清热解毒药
苦树皮;"Indian Quassiawood Bark;AngIed Bittersweet";KU SHU PI;Picrasma quassioides [Syn. Picrasma ailanthoides];;;;;;;;bark;To clear heat and disinhibit damp, resolve toxin and kill worms.;Bacillary dysentery, infection of biliary tract, suppurative infection, scab and lichen, eczema, snake bite.;;;;
狼毒大戟;Fischer Euphorbia;LANG DU DA JI;Euphorbia fischeriana;;;;;;;;root;See Euphorbia ebracteolata .;See Euphorbia ebracteolata .;;;;
大叶蛇葡萄;Largeleaf Ampelopsis;DA YE SHE PU TAO;Ampelopsis megalophylla;;;;;;;;branch-leaf;To clear heat and disinhibit damp, calm liver and lower blood pressure, quicken blood and free network vessels.;Dysentery, diarrhea, dribbling pain of urination, hypertension, dizzy head and distention eyes, knocks and falls.;;;;
榛蘑;"Mellea Armillaria Sporocarp;Mellea Armillaria Sporophore ";ZHEN MO;Armillariella mellea;;;;;;;;sporocarp;To calm liver and extinguish wind, dispel wind and quicken network vessels, strengthen sinews and bones.;Dizziness, headache, insomnia, numbness in limbs, pain in lumbus and legs, epilepsy.;;;;
金发藓;"Common Gold-hair Moss;Common GoId-hair Moss*";JIN FA XIAN;Polytrichum commune;;;;;;;;frond;To enrich yin and clear heat, cool blood and stanch bleeding.;Steaming bone tidal fever due to yin vacuity, night sweating, tuberculosis with cough, blood ejection due to blood heat, spontaneous external bleeding, hemoptysis, hematochezia, flooding and spotting.;;;;
蒙古蒿;Mongolian Wormwood;MENG GU HAO;Artemisia mongolica;;;;;;;;leaf;See Artemisia argyi.;See Artemisia argyi.;;;;
柠檬桉叶;Lemon Eucalyptus Leaf;NING MENG AN YE;Eucalyptus citriodora;;;;;;;;leaf;To dissipate wind and eliminate damp, fortify stomach and relieve pain, resolve toxin and relieve itch.;Wind-cold common cold, wind-damp bone pain, qi stagnation stomachache, food accumulation, sand distention and vomiting diarrhea, dysentery, asthma, malaria, sore and boil, wind papules, eczema, intractable lichen, burns and scalds.;;;;
松蕈;Pine Mushroom;SONG XUN;Tricholoma matsutake [Syn. Armillaria matsutake];;;;;;;;sporocarp;To soothe channels and quicken network vessels, rectify qi and transform phlegm, disinhibit damp and transform turbidity.;Pain in lumbus and legs, incessant urinary turbidity, numbness in limbs, hypertonicity of sinews and vessels, abundant phlegm and shortness of breath.;;;;
诃子叶;Medicine Terminalia Leaf;HE ZI YE;Terminalia chebula;;;;;;;;leaf;To precipitate qi and disperse phlegm, allay thirst, check dysentery.;Enduring cough and aphonia, chronic diarrhea, chronic dysentery.;;;;
菟丝子;Dodder Seed;TU SI ZI;"Semen Cuseutae;Semen Cuseutae;Semen Cuscutae";"Mild; Pungent; Sweet";Liver; Kidney;;;;;Cuscuta chinessis Lam.;"To arrest seminal discharge and abnormal urination, prevent abortion, improve eyesight and relieve diarrhea by replenishing and tonifying the liver and the kidney;Treatment of impotence, seminal emission, dripping of urine after urination, enuresis, frequent urination, aching and weakness of the loins and knees, blurred vision and tinnitus, threatened abortion due to hypofunction of the kidney, diarrhea due to hypofunction of the spleen and the kidney, external use for vitiligo.";1. Cardiotonic. 2. Promoting lymphocyte-blastogenesis.;;1. Cardiotonic. 2. Promoting lymphocyte-blastogenesis. ;"Yang Reinforcing Drugs;For tonifying weakness";"补阳药;补虚"
绿仙人掌;Common Prickly Pear;LV XIAN REN ZHANG;Opuntia vulgaris;;;;;;;;root and stem;See Opuntia dillenii .;See Opuntia dillenii.;;;;
柴黄姜;Rosthorn Yam;CHAI HUANG JIANG;Dioscorea nipponica ssp. rosthornii;;;;;;;;rhizome;See Dioscorea nipponica.;See Dioscorea nipponica.;;;;
水仙花;Chinese Narcissus Flower;SHUI XIAN HUA;Narcissus tazetta var. chinensis;;;;;;;;flower;To clear heart and quiet spirit, rectify qi and regulate menstruation, resolve toxin and repel foulness.;Fatigued spirit and dizziness, menstrual disorder, dysentery, swelling of sores.;;;;
马尾松叶;Masson Pine Leaf Equivalent plant: Pinus armandii;MA WEI SONG YE;Pinus massoniana;;;;;;;;leaf;To dispel wind and dry damp, kill worms and relieve itch, quicken blood and quiet spirit.;Wind-damp impediment pain, beriberi, damp sore, lichen, wind papule itching, knocks and falls, neurasthenia, chronic nephritis, hypertension, prevention of influenza and encephalitis B.;;;;
青牛胆;Arrowshaped Tinospora Equivalent plant: Tinospora capillipes;QING NIU DAN;Tinospora sagittata;;;;;;;;root;To clear heat and resolve toxin, disinhibit throat, relieve pain.;Swelling pain in throat, welling abscess and flat abscess with clove sore, diarrhea, dysentery, heat pain in stomach duct and abdomen.;;;;
羊角坳子;Divaricate Strophanthus Seed;YANG JIAO AO ZI;Strophanthus divaricatus;;;;;;;;seed;To quicken blood and disperse swelling, strengthen heart, kill worms and relieve itch.;Wind-damp, scab and lichen, knocks and falls, swelling of sores, cardiac failure, rheumatic arthritis.;;;;
直立婆婆纳;Common Speedwell;ZHI LI PO PO NA;Veronica arvensis;;;;;;;;whole herb;To clear heat, interrupt malaria.;Malaria.;;;;
斑鸠菊;Edible Bitterleaf;BAN JIU JU;Vernonia esculenta;;;;;;;;root or leaf;To clear heat and resolve toxin, engender flesh and close sores.;Appendicitis, sore and boil, burns and scalds.;;;;
三叶木通;Threeleaf Akebia;SAN YE MU TONG;Akebia trifoliata;;;;;;;;stem;See Akebia quinata.;See Akebia quinata.;;;;
南蛇藤;Oriental Bittersweet;NAN SHE TENG;Celastrus orbiculatus [Syn. Celastrus articulatus ];;;;;;;;stem vine;To dispel wind and eliminate damp, free menstruation and relieve pain, quicken blood and resolve toxin.;Painful joints due to rheumatalgia, numbness in limbs, paralysis, headache, toothache, mounting qi [=hernia], dysmenorrhea, menstrual block, infant fright wind, sprain from knocks and falls, dysentery, sand, zoster.;;;;
"栀子;生山栀";fruit of Cape Jasmine;"ZHI ZI;SHENG SHAN ZHI";Fructus Gardeniae;"Cold; Bitter";Lung; Stomach; Liver; Heart;;;"ripe fruit;Gardenia jaminoides Ellis";"1. To clear heat and reduce fire; 2. To cool blood and release toxins; 3. To eliminate dampness;4.Treatment of febrile diseases with restlessness, jaundice with dark urine, hematuria with difficult painful urination, hemoptysis and epistaxis caused by heat in the blood, inflammation of the eye, boils and sores, external use for sprains and bruises.Fructus Gardeniae (charred): Hemoptysis, epistaxis, hematuria and abnormal uterine bleeding caused by heat in the blood.";Acute icterohepatitis, febrile diseases, vexation, melancholia, restlessness, stagnation of damp-heat in liver and gall, fever, jaundice, short voidings of reddish urine, blood ejection, spontaneous external bleeding, dysentery with hematochezia and hematuria.1. The active components such as crocin, crocetin, genipin, or alcoholic extract protect the liver from carbon tetrachloride and increasing biliary secretion. Oral use of its decoction induce gallbladder contraction.2. Oral or intraperitoneal use of its decoction and alcoholic extract exerts a sustained hypotensive effect in anaesthetized and un-anaesthetized animals.3. Hemostatic.;;1. The active components such as crocin, crocetin, genipin, or alcoholic extract protect the liver from carbon tetrachloride and increasing biliary secretion. Oral use of its decoction induce gallbladder contraction.2. Oral or intraperitoneal use of its d;"Fire Purging Drugs;Heat clearence";"清热泻火药;清热"
水杨梅;"Japanese Avens;Thinleaf Adina ";"SHUI YANG MEI;SHUI YANG MEI I;SHUI YANG MEI II";Geum japonicum;;;;;;;;whole herb;To supplement vacuity and boost kidney, quicken blood and resolve toxin.;Exterior vacuity and common cold, dizziness and dim vision, lassitude in limbs, emission, impotence, cough with blood ejection, vacuity cold and abdominal pain, menstrual disorder, swelling of sores, fracture.;;;;
角蒿;Chinese Incarvillea;JIAO HAO;Incarvillea sinensis;;;;;;;;whole herb;To dispel wind-damp, resolve toxin, kill worms.;Wind-damp impediment pain, knocks and falls, mouth sore, gingiva ulcerating, ear sore, eczema, scab and lichen, trichomonas vaginalis.;;;;
沙枣树皮;Russianolive Bark;SHA ZAO SHU PI;Elaeagnus angustifolia;;;;;;;;bark;To clear heat and relieve cough, disinhibit damp and relieve pain, resolve toxin, stanch bleeding.;Chronic trachitis, stomachache, enteritis, acute nephritis, chronic nephritis, icterohepatitis, vaginal discharge, burns and scalds, bleeding due to external injury.;;;;
橘核;Tangerine Seed;JU HE;Semen Citri Reticulatae;"Minor Warm; Mild; Bitter";Liver; Kidney;;;;;seed;To regulate the flow of qi, cause subsidence of modulation, and relieve pain.;Mounting qi, painful swollen testes, mammary welling abscess, lumbago, bladder qi pain.;;;Qi Regulating Drugs;理气药
山楂花;Chinese Hawthorn Flower;SHAN ZHA HUA;Crataegus pinnatifida;;;;;;;;flower;To lower blood pressure.;Hypertension.;;;;
枸橘枳壳;"Trifoliate-orange Unripe Fruit;Trifoliate-orange  Unrape  Fruit ";GOU JU ZHI KE;Poncirus trifoliata;;;;;;;;unripe fruit;See Citrus aurantium.;See Citrus aurantium.;;;;
黄菀;Shady Groundsel;HUANG WAN;Senecio nemorensis;;;;;;;;whole herb;To clear heat and resolve toxin.;Dysentery, enteritis, hepatitis, conjunctivitis, otitis media, welling abscess and boil, toxin of clove sore.;;;;
枳实;"immature fruit of Seville orange;Seville Orange Young Fruit";ZHI SHI;Fructus Aurantii Immaturus;"Minor cold; Pungent; Bitter";Spleen; Large Intestine; Stomach;;;;young fruit;To eliminate stagnation of qi, resolve phlegm and relieve stuffiness sensation in the chest and abdomen.;Shock, indigestion, ptosis of anus or uterus, cardiac failure, distention fullness in chest and abdomen, phlegm aggregation.;;1. Its active components, synephrine and N-methyltyramine, lower the blood pressure in anesthetized dogs.2. Increasing the coronary flow significantly and heart rate slightly in anesthetized dogs.3. Diuretic.4. Its decoction inhibits the intestines in mic;Qi Regulating Drugs;理气药
小巢菜;Pigeon Vetch;XIAO CHAO CAI;Vicia hirsuta;;;;;;;;whole herb;To resolve exterior and disinhibit damp, regulate menstruation and stanch bleeding.;Jaundice, malaria, menstrual disorder, nosebleed(epistaxis), Vaginal discharge.;;;;
斜茎獐牙菜;"Spreading Swertia;Spreading Swertia* ";XIE JING ZHANG YA CAI;Swertia patens;;;;;;;;whole herb;To warm center and relieve pain, fortify spleen and disperse accumulation.;Infant common cold, spasmodic abdominal pain, child gan accumulation, indigestion.;;;;
寒水石;"mirabilitum crystallina;Gypsum Rubrum";HAN SHUI SHI;Calcitum;"Cold; Pungent; Salty";Stomach; Heart; Kidney;;;;;For clearing heat and purging fire;;;;Heat clearence;清热
辣蓼;Flaccid Knotweed;LA LIAO;Polygonum hydropiper var. flaccidum [Syn. Polygonum flaccidum];;;;;;;;whole herb;To resolve toxin, eliminate damp, dissipate stasis, stanch bleeding.;Dysentery, diarrhea, nipple moth, malaria, wind-damp impediment pain, painful swelling from knocks and falls, flooding and spotting [=metrorrhagia and metrostaxis], swollen welling abscess and clove sores, scrofula, poisonous snake bites, eczema, foot lichen.;;;;
